Utility_Number,Utility_Name,State_FIPS,State_Name,Total_Sales_MWh,BA_Code,BA_Number,BA_Long_Name,BA_Short_Name
1582,"City of Benton - (KY)",21000,Kentucky,67399,57,18642,"Tennessee Valley Authority",TVA
1586,"City of Bentonville - (AR)",5000,Arkansas,649067,51,59504,"Southwest Power Pool",SWPP
1591,"Big Country Electric Coop, Inc",48000,Texas,237411,14,5723,"Electric Reliability Council of Texas",ERCO
1601,"City of Beresford",46000,South Dakota,28839,51,59504,"Southwest Power Pool",SWPP
1611,"Linde Energy Services, Inc.",10000,Delaware,226822,39,14725,"PJM Interconnection, LLC",PJM
1611,"Linde Energy Services, Inc.",17000,Illinois,258667,28,56669,"Midcontinent Independent System Operator",MISO
1611,"Linde Energy Services, Inc.",25000,Massachusetts,1074,24,13434,"ISO New England Inc.",ISNE
1611,"Linde Energy Services, Inc.",23000,Maine,91174,24,13434,"ISO New England Inc.",ISNE
1611,"Linde Energy Services, Inc.",34000,New Jersey,3091,39,14725,"PJM Interconnection, LLC",PJM
1611,"Linde Energy Services, Inc.",36000,New York,43205,34,13501,"New York Independent System Operator",NYIS
1611,"Linde Energy Services, Inc.",39000,Ohio,185699,39,14725,"PJM Interconnection, LLC",PJM
1611,"Linde Energy Services, Inc.",42000,Pennsylvania,636293,39,14725,"PJM Interconnection, LLC",PJM
1613,"Berkeley Electric Coop Inc",45000,South Carolina,2584555,43,17543,"South Carolina Public Service Authority",SC
1625,"Benton Rural Electric Assn",53000,Washington,548599,6,1738,"Bonneville Power Administration - Transmission",BPAT
1640,"City of Bessemer Utilities",1000,Alabama,286940,57,18642,"Tennessee Valley Authority",TVA
1675,"Big Horn Rural Electric Co",30000,Montana,19657,58,28503,"Western Area Power Administration - Rocky Mountain Region",WACM
1675,"Big Horn Rural Electric Co",56000,Wyoming,111032,58,28503,"Western Area Power Administration - Rocky Mountain Region",WACM
1683,"Big Horn County Elec Coop, Inc",30000,Montana,60705,6,1738,"Bonneville Power Administration - Transmission",BPAT
1683,"Big Horn County Elec Coop, Inc",56000,Wyoming,4148,6,1738,"Bonneville Power Administration - Transmission",BPAT
1708,"Big Sandy Rural Elec Coop Corp",21000,Kentucky,191158,39,14725,"PJM Interconnection, LLC",PJM
1723,"Big Bend Electric Coop, Inc",53000,Washington,529634,6,1738,"Bonneville Power Administration - Transmission",BPAT
1736,"Blachly-Lane County Coop El Assn",41000,Oregon,173492,6,1738,"Bonneville Power Administration - Transmission",BPAT
1738,"Bonneville Power Administration",41000,Oregon,5697,6,1738,"Bonneville Power Administration - Transmission",BPAT
1738,"Bonneville Power Administration",53000,Washington,4528661,6,1738,"Bonneville Power Administration - Transmission",BPAT
1738,"Bonneville Power Administration",53000,Washington,307718,6,1738,"Bonneville Power Administration - Transmission",BPAT
1763,"Black River Electric Coop, Inc - (SC)",45000,South Carolina,669774,43,17543,"South Carolina Public Service Authority",SC
1764,"Black Diamond Power Co",54000,West Virginia,49598,39,14725,"PJM Interconnection, LLC",PJM
1769,"Black Hills Electric Coop, Inc",46000,South Dakota,141883,51,59504,"Southwest Power Pool",SWPP
1775,"Black River Electric Coop - (MO)",29000,Missouri,445094,1,924,"Associated Electric Cooperative, Inc.",AECI
1776,"City of Black River Falls",55000,Wisconsin,56736,28,56669,"Midcontinent Independent System Operator",MISO
1780,"Black Warrior Elec Member Corp",1000,Alabama,367409,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
1818,"City of Blaine - (WA)",53000,Washington,78433,42,15500,"Puget Sound Energy Inc.",PSEI
1857,"Block Island Power Co",44000,Rhode Island,11885,24,13434,"ISO New England Inc.",ISNE
1869,"City of Bloomfield - (IA)",19000,Iowa,.,1,924,"Associated Electric Cooperative, Inc.",AECI
1883,"Blue Earth Light & Water",27000,Minnesota,53400,28,56669,"Midcontinent Independent System Operator",MISO
1884,"BENCO Electric Cooperative",27000,Minnesota,393014,28,56669,"Midcontinent Independent System Operator",MISO
1886,"Blue Grass Energy Coop Corp",21000,Kentucky,1274926,39,14725,"PJM Interconnection, LLC",PJM
1889,"Blue Ridge Elec Member Corp - (NC)",37000,North Carolina,1047118,12,5416,"Duke Energy Carolinas",DUK
1890,"Blue Ridge Electric Coop Inc - (SC)",45000,South Carolina,1016349,12,5416,"Duke Energy Carolinas",DUK
1891,"Blue Ridge Mountain EMC - (GA)",13000,Georgia,431537,57,18642,"Tennessee Valley Authority",TVA
1891,"Blue Ridge Mountain EMC - (GA)",37000,North Carolina,189369,57,18642,"Tennessee Valley Authority",TVA
1892,"Bluebonnet Electric Coop, Inc",48000,Texas,2023673,14,5723,"Electric Reliability Council of Texas",ERCO
1896,"City of Bluffton - (IN)",18000,Indiana,273123,39,14725,"PJM Interconnection, LLC",PJM
1898,"Bon Homme Yankton El Assn, Inc",46000,South Dakota,87618,51,59504,"Southwest Power Pool",SWPP
1913,"City of Boerne",48000,Texas,132474,14,5723,"Electric Reliability Council of Texas",ERCO
1936,"Bolivar Energy Authority",47000,Tennessee,215820,57,18642,"Tennessee Valley Authority",TVA
1997,"City of Boscobel - (WI)",55000,Wisconsin,44095,28,56669,"Midcontinent Independent System Operator",MISO
2001,"Boone Electric Coop",29000,Missouri,529808,1,924,"Associated Electric Cooperative, Inc.",AECI
2008,"City of Boulder City - (NV)",32000,Nevada,153373,59,25471,"Western Area Power Administration - Desert Southwest Region",WALC
2010,"City of Bountiful",49000,Utah,288409,36,14379,"PacifiCorp - East",PACE
2049,"Bowie-Cass Electric Coop, Inc",48000,Texas,581164,51,59504,"Southwest Power Pool",SWPP
2054,"City of Bowling Green - (OH)",39000,Ohio,527310,39,14725,"PJM Interconnection, LLC",PJM
2056,"City of Bowling Green - (KY)",21000,Kentucky,877253,57,18642,"Tennessee Valley Authority",TVA
2089,"Bozrah Light & Power Company",9000,Connecticut,209538,24,13434,"ISO New England Inc.",ISNE
2138,"Brainerd Public Utilities",27000,Minnesota,178511,28,56669,"Midcontinent Independent System Operator",MISO
2144,"Town of Braintree - (MA)",25000,Massachusetts,335165,24,13434,"ISO New England Inc.",ISNE
2182,"City of Breckenridge- (MN)",27000,Minnesota,36659,28,56669,"Midcontinent Independent System Operator",MISO
2192,"Bremen Electric Light & Power Co",18000,Indiana,163218,28,56669,"Midcontinent Independent System Operator",MISO
2194,"City of Brenham - (TX)",48000,Texas,270776,14,5723,"Electric Reliability Council of Texas",ERCO
2206,"City of Brewster - (MN)",27000,Minnesota,4503,28,56669,"Midcontinent Independent System Operator",MISO
2212,"Broad River Electric Coop, Inc",37000,North Carolina,5420,12,5416,"Duke Energy Carolinas",DUK
2212,"Broad River Electric Coop, Inc",45000,South Carolina,357406,12,5416,"Duke Energy Carolinas",DUK
2215,"Bridger Valley Elec Assn, Inc",49000,Utah,12654,58,28503,"Western Area Power Administration - Rocky Mountain Region",WACM
2215,"Bridger Valley Elec Assn, Inc",56000,Wyoming,130620,58,28503,"Western Area Power Administration - Rocky Mountain Region",WACM
2220,"Brigham City Corporation",49000,Utah,159167,36,14379,"PacifiCorp - East",PACE
2247,"City of Bristol - (TN)",47000,Tennessee,853068,57,18642,"Tennessee Valley Authority",TVA
2248,"Bristol Virginia Utilities",51000,Virginia,481990,57,18642,"Tennessee Valley Authority",TVA
2273,"Brodhead Water & Lighting Comm",55000,Wisconsin,33766,28,56669,"Midcontinent Independent System Operator",MISO
2277,"City of Broken Bow - (NE)",31000,Nebraska,97863,51,59504,"Southwest Power Pool",SWPP
2285,"City of Brookings - (SD)",46000,South Dakota,316571,58,28503,"Western Area Power Administration - Rocky Mountain Region",WACM
2316,"Brown County Rural Elec Assn",27000,Minnesota,129324,28,56669,"Midcontinent Independent System Operator",MISO
2354,"Brown-Atchison E C A Inc",20000,Kansas,47130,51,59504,"Southwest Power Pool",SWPP
2394,"Burke-Divide Electric Coop Inc",38000,North Dakota,235970,51,59504,"Southwest Power Pool",SWPP
2409,"Brownsville Public Utilities Board",48000,Texas,1271903,14,5723,"Electric Reliability Council of Texas",ERCO
2411,"City of Brownsville",47000,Tennessee,206973,57,18642,"Tennessee Valley Authority",TVA
2439,"City of Bryan - (OH)",39000,Ohio,177461,39,14725,"PJM Interconnection, LLC",PJM
2442,"City of Bryan - (TX)",48000,Texas,1400442,14,5723,"Electric Reliability Council of Texas",ERCO
2481,"Cargill Power Markets LLC",53000,Washington,0,42,15500,"Puget Sound Energy Inc.",PSEI
2485,"City of Buffalo - (MN)",27000,Minnesota,109253,28,56669,"Midcontinent Independent System Operator",MISO
2487,"City of Buford",13000,Georgia,200420,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
2502,"Buckeye Rural Elec Coop, Inc",39000,Ohio,234739,39,14725,"PJM Interconnection, LLC",PJM
2507,"City of Burbank Water and Power",6000,California,1079709,26,11208,"Los Angeles Department of Water and Power",LDWP
2545,"City of Burley - (ID)",16000,Idaho,119241,6,1738,"Bonneville Power Administration - Transmission",BPAT
2548,"City of Burlington Electric - (VT)",50000,Vermont,331960,24,13434,"ISO New England Inc.",ISNE
2551,"City of Burlington - (KS)",20000,Kansas,29781,51,59504,"Southwest Power Pool",SWPP
2599,"Burt County Public Power Dist",31000,Nebraska,86138,51,59504,"Southwest Power Pool",SWPP
2641,"Butler Rural El Coop Assn, Inc - (KS)",20000,Kansas,122188,51,59504,"Southwest Power Pool",SWPP
2643,"Butler Public Power District - (NE)",31000,Nebraska,190559,51,59504,"Southwest Power Pool",SWPP
2650,"Borough of Butler - (NJ)",34000,New Jersey,151596,39,14725,"PJM Interconnection, LLC",PJM
2651,"Butler Rural Electric Coop Inc - (OH)",39000,Ohio,207538,39,14725,"PJM Interconnection, LLC",PJM
2652,"Butler County Rural Elec Coop - (IA)",19000,Iowa,203332,51,59504,"Southwest Power Pool",SWPP
2655,"Butte Electric Coop, Inc",46000,South Dakota,99981,58,28503,"Western Area Power Administration - Rocky Mountain Region",WACM
2678,"C & L Electric Coop Corp",5000,Arkansas,333512,28,56669,"Midcontinent Independent System Operator",MISO
2773,"City of Cairo - (GA)",13000,Georgia,131428,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
2774,"CMS Electric Coop Inc",20000,Kansas,221999,51,59504,"Southwest Power Pool",SWPP
2812,"City of Calhoun - (GA)",13000,Georgia,424495,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
2830,"Calpine Power America LLC",6000,California,1555366,9,2775,"California Independent System Operator",CISO
2830,"Calpine Power America LLC",23000,Maine,9183,24,13434,"ISO New England Inc.",ISNE
2830,"Calpine Power America LLC",48000,Texas,211609,14,5723,"Electric Reliability Council of Texas",ERCO
2849,"Central Electric Power Assn - (MS)",28000,Mississippi,826255,57,18642,"Tennessee Valley Authority",TVA
2888,"City of Cambridge - (NE)",31000,Nebraska,47100,51,59504,"Southwest Power Pool",SWPP
2890,"City of Camden",45000,South Carolina,170118,10,3046,"Duke Energy Progress East",CPLE
2900,"City of Cameron",29000,Missouri,77371,1,924,"Associated Electric Cooperative, Inc.",AECI
2903,"Canoochee Electric Member Corp",13000,Georgia,403415,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
2910,"City of Camilla",13000,Georgia,146172,48,18195,"Southern Company Services, Inc. - Transmission",SOCO
